"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001","20001","20002","20003","30001","30002","40001","40002","50001","50002","50003","70001","70002","70003","70004","70005","70006","80001","80002","90004","90005","90006","90007","90008","90009"
"Chromis chromis","species","Chromis chromis","Chromis chromis","Chromis","Chromis","Pomacentridae",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Citharus linguatula","species","Citharus linguatula","Citharus linguatula","Citharus","Citharus","Citharidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Clupea","genus",NA,NA,"Clupea","Clupea","Clupeidae",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coelorinchus","genus",NA,NA,"Coelorinchus","Coelorinchus","Macrouridae",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congridae","family",NA,NA,NA,NA,"Congridae",0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1
"Corcyrogobius liechtensteini","species","Corcyrogobius liechtensteini","Corcyrogobius liechtensteini","Corcyrogobius","Corcyrogobius","Gobiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
"Coris","genus",NA,NA,"Coris","Coris","Labridae",0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
"Coris julis","species","Coris julis","Coris julis","Coris","Coris","Labridae",0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Coryphaena hippurus","species","Coryphaena hippurus","Coryphaena hippurus","Coryphaena","Coryphaena","Coryphaenidae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Crystallogobius linearis","species","Crystallogobius linearis","Crystallogobius linearis","Crystallogobius","Crystallogobius","Gobiidae",0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"Ctenogobius boleosoma","species","Ctenogobius boleosoma","Ctenogobius boleosoma","Ctenogobius","Ctenogobius","Gobiidae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclothone","genus",NA,NA,"Cyclothone","Cyclothone","Gonostomatidae",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
"Cyclothone braueri","species","Cyclothone braueri","Cyclothone braueri","Cyclothone","Cyclothone","Gonostomatidae",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"Dactylopterus volitans","species","Dactylopterus volitans","Dactylopterus volitans","Dactylopterus","Dactylopterus","Dactylopteridae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Dalophis imberbis","species","Dalophis imberbis","Dalophis imberbis","Dalophis","Dalophis","Ophichthidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
