Source,Filter_ID,PCR_ID,Ecoregion,Country,Site_names,Common_MPA,MPA_Identi,Transect_ID,decimalLatitude,decimalLongitude,decimalLatitude_end,decimalLongitude_end,start_time,Date_Collection,Zone,Method,duration,filtr,vlm_f,EVE,EVS,Region,Projet
ACTNOW,DAR-2023-0963,MA04,Ionian Sea,Malta,ma_mt_amarre_2023_Buffer,MT0000102,40002,40002.2,35.94619457,14.32890704,35.91881272,14.32553423,11:34:00,11/09/2023,Buffer,surface_boat_transect,60,0.45,52.6,EVE2338,EVS498,Med,ACTNOW
ACTNOW,DAR-2023-0962,MA05,Ionian Sea,Malta,ma_mt_amarre_2023_Outside,MT0000102,40002,40002.3,35.90112147,14.32936282,35.87552583,14.33970989,12:58:00,11/09/2023,Outside,surface_boat_transect,60,0.45,49,EVE2339,EVS499,Med,ACTNOW
ACTNOW,DAR-2023-0961,MA06,Ionian Sea,Malta,ma_mt_amarre_2023_Outside,MT0000102,40002,40002.3,35.90112147,14.32936282,35.87552583,14.33970989,12:58:00,11/09/2023,Outside,surface_boat_transect,60,0.45,61,EVE2341,EVS500,Med,ACTNOW
ACTNOW,DAR-2023-0948,SP13,Alboran Sea,Spain,ma_es_macego_2023_NTZ,Maro-Cerro Gordo,50001,50001.1,36.74152949,-3.819076717,36.74413349,-3.832148379,11:31:00,30/11/2023,NTZ,surface_boat_transect,30,0.45,28.5,EVE2361,EVS764,Med,ACTNOW
ACTNOW,DAR-2023-0956,SP14,Alboran Sea,Spain,ma_es_macego_2023_NTZ,Maro-Cerro Gordo,50001,50001.1,36.74410013,-3.831795249,36.74008101,-3.820856698,12:03:00,30/11/2023,NTZ,surface_boat_transect,30,0.45,24.8,EVE2365,EVS765,Med,ACTNOW
ACTNOW,DAR-2023-0957,SP15,Alboran Sea,Spain,ma_es_macego_2023_Buffer,Maro-Cerro Gordo,50001,50001.2,36.72895605,-3.893620335,36.72509903,-3.903820943,12:59:00,30/11/2023,Buffer,surface_boat_transect,30,0.45,31.5,EVE2362,EVS766,Med,ACTNOW
ACTNOW,DAR-2023-0942,SP16,Alboran Sea,Spain,ma_es_macego_2023_Buffer,Maro-Cerro Gordo,50001,50001.2,36.7253266,-3.901043348,36.73131388,-3.879747698,13:33:00,30/11/2023,Buffer,surface_boat_transect,30,0.45,28.5,EVE2360,EVS767,Med,ACTNOW
ACTNOW,DAR-2023-0947,SP17,Alboran Sea,Spain,ma_es_macego_2023_Outside,Maro-Cerro Gordo,50001,50001.3,36.71509783,-3.946888922,36.71551575,-3.96396772,14:28:00,30/11/2023,Outside,surface_boat_transect,30,0.45,33,EVE2363,EVS768,Med,ACTNOW
ACTNOW,DAR-2023-0951,SP19,Alboran Sea,Spain,ma_es_macego_2023_Outside,Maro-Cerro Gordo,50001,50001.3,36.71554659,-3.961083591,36.71680212,-3.940388085,15:03:00,30/11/2023,Outside,surface_boat_transect,30,0.45,33,"EVE2364, EVE2346",EVS769,Med,ACTNOW
ACTNOW,DAR-2023-0958,SP07,Alboran Sea,Spain,ma_es_caboga_2023_Outside,Cabo de Gata-Nijar,50002,50002.3,37.03722577,-1.858357033,37.04744666,-1.852169763,10:02:00,29/11/2023,Outside,surface_boat_transect,30,0.45,28.5,EVE2350,EVS758,Med,ACTNOW
ACTNOW,DAR-2023-0950,SP08,Alboran Sea,Spain,ma_es_caboga_2023_Outside,Cabo de Gata-Nijar,50002,50002.3,37.03722577,-1.858357033,37.04744666,-1.852169763,10:02:00,29/11/2023,Outside,surface_boat_transect,30,0.45,29.3,EVE2345,EVS759,Med,ACTNOW
ACTNOW,DAR-2023-0955,SP09,Alboran Sea,Spain,ma_es_caboga_2023_Buffer,Cabo de Gata-Nijar,50002,50002.2,37.00936222,-1.869668579,36.99448577,-1.879462078,11:03:00,29/11/2023,Buffer,surface_boat_transect,30,0.45,27.8,EVE2349,EVS760,Med,ACTNOW
ACTNOW,DAR-2023-0943,SP10,Alboran Sea,Spain,ma_es_caboga_2023_Buffer,Cabo de Gata-Nijar,50002,50002.2,37.00936222,-1.869668579,36.99448577,-1.879462078,11:03:00,29/11/2023,Buffer,surface_boat_transect,30,0.45,21.8,EVE2344,EVS761,Med,ACTNOW
ACTNOW,DAR-2023-0953,SP11,Alboran Sea,Spain,ma_es_caboga_2023_NTZ,Cabo de Gata-Nijar,50002,50002.1,36.94391205,-1.889560595,36.9363654,-1.89760102,12:17:00,29/11/2023,NTZ,surface_boat_transect,30,0.45,27,EVE2347,EVS762,Med,ACTNOW
ACTNOW,DAR-2023-0954,SP12,Alboran Sea,Spain,ma_es_caboga_2023_NTZ,Cabo de Gata-Nijar,50002,50002.1,36.94391205,-1.889560595,36.9363654,-1.89760102,12:17:00,29/11/2023,NTZ,surface_boat_transect,30,0.45,33,EVE2348,EVS763,Med,ACTNOW
ACTNOW,DAR-2023-0946,SP01,Western Mediterranean,Spain,ma_es_cabopa_2023_NTZ,Cabo de Palos-Islas Hormigas,50003,50003.1,37.64877386,-0.648945468,37.65664556,-0.649964036,12:35:00,28/11/2023,NTZ,surface_boat_transect,45,0.45,45,EVE2357,EVS752,Med,ACTNOW
ACTNOW,DAR-2023-0945,SP02,Western Mediterranean,Spain,ma_es_cabopa_2023_NTZ,Cabo de Palos-Islas Hormigas,50003,50003.1,37.64877386,-0.648945468,37.65664556,-0.649964036,12:35:00,28/11/2023,NTZ,surface_boat_transect,45,0.45,45,EVE2354,EVS753,Med,ACTNOW
ACTNOW,DAR-2023-0959,SP03,Western Mediterranean,Spain,ma_es_cabopa_2023_Buffer,Cabo de Palos-Islas Hormigas,50003,50003.2,37.6670724,-0.710753286,37.68020147,-0.71013269,14:11:00,28/11/2023,Buffer,surface_boat_transect,30,0.45,27.8,EVE2352,EVS754,Med,ACTNOW
ACTNOW,DAR-2023-0952,SP04,Western Mediterranean,Spain,ma_es_cabopa_2023_Buffer,Cabo de Palos-Islas Hormigas,50003,50003.2,37.6670724,-0.710753286,37.68020147,-0.71013269,14:11:00,28/11/2023,Buffer,surface_boat_transect,30,0.45,27.8,EVE2355,EVS755,Med,ACTNOW
ACTNOW,DAR-2023-0960,SP05,Western Mediterranean,Spain,ma_es_cabopa_2023_Outside,Cabo de Palos-Islas Hormigas,50003,50003.3,37.73892945,-0.705704447,37.73917495,-0.694894055,15:25:00,28/11/2023,Outside,surface_boat_transect,30,0.45,27,EVE2353,EVS756,Med,ACTNOW
ACTNOW,DAR-2023-0949,SP06,Western Mediterranean,Spain,ma_es_cabopa_2023_Outside,Cabo de Palos-Islas Hormigas,50003,50003.3,37.73892945,-0.705704447,37.73917495,-0.694894055,15:25:00,28/11/2023,Outside,surface_boat_transect,30,0.45,33,EVE2356,EVS757,Med,ACTNOW
ACTNOW,DAR-2023-0144,IT07,Ionian Sea,Italy,ma_it_portoc_2023_NTZ,Porto Cesareo,70001,70001.1.2,40.24406776,17.88984693,40.23554792,17.90281785,10:14:00,25/07/2023,NTZ,surface_boat_transect,45,0.45,19.9,EVE2436,EVS483,Med,ACTNOW
ACTNOW,DAR-2023-0145,IT08,Ionian Sea,Italy,ma_it_portoc_2023_NTZ,Porto Cesareo,70001,70001.1.2,40.24406776,17.88984693,40.23554792,17.90281785,10:16:00,25/07/2023,NTZ,surface_boat_transect,45,0.45,15.4,EVE2422,EVS484,Med,ACTNOW
ACTNOW,DAR-2023-0067,IT09,Ionian Sea,Italy,ma_it_portoc_2023_Outside,Porto Cesareo,70001,70001.3.2,40.28007042,17.78170541,40.28546888,17.74771507,12:27:00,27/07/2023,Outside,surface_boat_transect,45,0.45,28.1,EVE2441,EVS485,Med,ACTNOW
ACTNOW,DAR-2023-0475,IT10,Ionian Sea,Italy,ma_it_portoc_2023_Outside,Porto Cesareo,70001,70001.3.2,40.28007042,17.78170541,40.28546888,17.74771507,13:16:00,27/07/2023,Outside,surface_boat_transect,45,0.45,28.5,EVE2433,EVS486,Med,ACTNOW
ACTNOW,DAR-2023-0069,IT11,Ionian Sea,Italy,ma_it_portoc_2023_Buffer,Porto Cesareo,70001,70001.2.2,40.26627434,17.83908909,40.27447201,17.8052987,10:30:00,27/07/2023,Buffer,surface_boat_transect,45,0.45,41.4,EVE2431,EVS487,Med,ACTNOW
ACTNOW,DAR-2023-0068,IT12,Ionian Sea,Italy,ma_it_portoc_2023_Buffer,Porto Cesareo,70001,70001.2.2,40.26627434,17.83908909,40.27447201,17.8052987,11:21:00,27/07/2023,Buffer,surface_boat_transect,45,0.45,43.2,EVE2428,EVS488,Med,ACTNOW
ACTNOW,DAR-2023-0472,IT13,Ionian Sea,Italy,ma_it_portoc_2023_NTZ,Porto Cesareo,70001,70001.1.1,40.2163854,17.91398499,40.19104969,17.91398366,07:38:00,28/07/2023,NTZ,surface_boat_transect,45,0.45,45,EVE2440,EVS489,Med,ACTNOW
ACTNOW,DAR-2023-0461,IT14,Ionian Sea,Italy,ma_it_portoc_2023_NTZ,Porto Cesareo,70001,70001.1.1,40.2163854,17.91398499,40.19104969,17.91398366,08:27:00,28/07/2023,NTZ,surface_boat_transect,45,0.45,43.9,EVE2425,EVS490,Med,ACTNOW
ACTNOW,DAR-2023-0471,IT15,Ionian Sea,Italy,ma_it_portoc_2023_Outside,Porto Cesareo,70001,70001.3.1,40.12079958,17.99070205,40.09490695,18.00529789,11:29:00,28/07/2023,Outside,surface_boat_transect,45,0.45,42.8,EVE2427,EVS491,Med,ACTNOW
ACTNOW,DAR-2023-0470,IT16,Ionian Sea,Italy,ma_it_portoc_2023_Outside,Porto Cesareo,70001,70001.3.1,40.12079958,17.99070205,40.09490695,18.00529789,12:17:00,28/07/2023,Outside,surface_boat_transect,45,0.45,41.4,EVE2437,EVS492,Med,ACTNOW
ACTNOW,DAR-2023-0474,IT17,Ionian Sea,Italy,ma_it_portoc_2023_Buffer,Porto Cesareo,70001,70001.2.1,40.15404013,17.95241294,40.13344599,17.97450666,09:37:00,28/07/2023,Buffer,surface_boat_transect,45,0.45,21.5,EVE2424,EVS493,Med,ACTNOW
ACTNOW,DAR-2023-0473,IT18,Ionian Sea,Italy,ma_it_portoc_2023_Buffer,Porto Cesareo,70001,70001.2.1,40.15404013,17.95241294,40.13344599,17.97450666,10:25:00,28/07/2023,Buffer,surface_boat_transect,45,0.45,35,EVE2429,EVS494,Med,ACTNOW
ACTNOW,DAR-2023-0426,IT01,Adriatic Sea,Italy,ma_it_torreg_2023_NTZ,Torre Guaceto,70002,70002.1,40.71312304,17.81508102,40.71979,17.796748,11:05:00,24/07/2023,NTZ,surface_boat_transect,45,0.45,37.3,EVE2435,EVS477,Med,ACTNOW
ACTNOW,DAR-2023-0427,IT02,Adriatic Sea,Italy,ma_it_torreg_2023_NTZ,Torre Guaceto,70002,70002.1,40.71312304,17.81508102,40.71979,17.796748,11:06:00,24/07/2023,NTZ,surface_boat_transect,45,0.45,27.4,EVE2430,EVS478,Med,ACTNOW
ACTNOW,DAR-2023-0428,IT03,Adriatic Sea,Italy,ma_it_torreg_2023_Buffer,Torre Guaceto,70002,70002.2,40.74517701,17.74784393,40.76121911,17.71926895,12:45:00,24/07/2023,Buffer,surface_boat_transect,45,0.45,42.8,EVE2434,EVS479,Med,ACTNOW
ACTNOW,DAR-2023-0142,IT04,Adriatic Sea,Italy,ma_it_torreg_2023_Buffer,Torre Guaceto,70002,70002.2,40.74517701,17.74784393,40.76121911,17.71926895,12:45:00,24/07/2023,Buffer,surface_boat_transect,45,0.45,33.8,EVE2423,EVS480,Med,ACTNOW
ACTNOW,DAR-2023-0143,IT05,Adriatic Sea,Italy,ma_it_torreg_2023_Outside,Torre Guaceto,70002,70002.3,40.76994199,17.69881528,40.78041949,17.66622978,14:15:00,24/07/2023,Outside,surface_boat_transect,45,0.45,40.9,EVE2438,EVS481,Med,ACTNOW
ACTNOW,DAR-2023-0148,IT06,Adriatic Sea,Italy,ma_it_torreg_2023_Outside,Torre Guaceto,70002,70002.3,40.76994199,17.69881528,40.78041949,17.66622978,14:17:00,24/07/2023,Outside,surface_boat_transect,45,0.45,33.6,EVE2432,EVS482,Med,ACTNOW
ACTNOW,DAR-2024-0326,CR01,Adriatic Sea,Croatia,ma_hr_kornat_2024_NTZ,Kornati National Park,80001,80001.1,43.7047347,15.53799994,43.70859825,15.53122695,13:18:00,11/09/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2309,EVS1732,Med,ACTNOW
