"class_name","scientific_name"
"Actinopteri","Sparisoma"
"Actinopteri","Cepola"
"Actinopteri","Epigonus"
"Actinopteri","Lepidopsetta bilineata"
"Actinopteri","Trachinus"
"Actinopteri","Spinachia spinachia"
"Actinopteri","Gasterosteus"
"Actinopteri","Sander"
"Actinopteri","Perca"
"Actinopteri","Perca fluviatilis"
"Actinopteri","Pholis"
"Actinopteri","Gymnocephalus"
"Actinopteri","Parablennius rouxi"
"Actinopteri","Pomatoschistus"
"Actinopteri","Gobiusculus"
"Actinopteri","Blennius"
"Actinopteri","Lophius piscatorius"
"Actinopteri","Lophius budegassa"
"Actinopteri","Scophthalmus rhombus"
"Actinopteri","Zeugopterus punctatus"
"Actinopteri","Epigonus constanciae"
"Actinopteri","Chelidonichthys cuculus"
"Actinopteri","Microstomus"
"Actinopteri","Helicolenus"
"Actinopteri","Sarda"
"Actinopteri","Auxis rochei"
"Actinopteri","Balistes"
"Actinopteri","Apogon"
"Actinopteri","Ctenolabrus"
"Actinopteri","Arctozenus"
"Actinopteri","Pseudaphya"
"Actinopteri","Speleogobius trigloides"
"Actinopteri","Speleogobius"
"Actinopteri","Lebetus"
"Actinopteri","Pomatoschistus lozanoi"
"Actinopteri","Apogon pacificus"
"Actinopteri","Stomias"
"Actinopteri","Gambusia"
"Actinopteri","Salvelinus"
"Actinopteri","Hippocampus hippocampus"
"Actinopteri","Sprattus"
"Actinopteri","Clupeinae"
"Actinopteri","Sprattus sprattus"
"Actinopteri","Prochilodus"
"Actinopteri","Hoplias malabaricus"
"Actinopteri","Siluridae"
"Actinopteri","Maurolicus"
"Actinopteri","Corcyrogobius liechtensteini"
"Actinopteri","Corcyrogobius"
"Actinopteri","Dactylopterus volitans"
"Actinopteri","Labrus mixtus"
"Actinopteri","Diplodus noct"
"Actinopteri","Lepidopus caudatus"
"Actinopteri","Citharus linguatula"
"Actinopteri","Carapus"
"Actinopteri","Aulopus filamentosus"
"Actinopteri","Xyrichtys"
"Actinopteri","Diplodus holbrookii"
"Actinopteri","Capros"
"Actinopteri","Xiphias"
"Actinopteri","Lepidorhombus boscii"
"Actinopteri","Scophthalmus maximus"
"Actinopteri","Lepidorhombus whiffiagonis"
"Actinopteri","Lepidorhombus"
"Actinopteri","Symbolophorus veranyi"
"Actinopteri","Symbolophorus"
"Actinopteri","Argentina sphyraena"
"Actinopteri","Symphodus bailloni"
"Actinopteri","Lesueurigobius friesii"
"Actinopteri","Zosterisessor ophiocephalus"
"Actinopteri","Zebrus"
"Actinopteri","Callionymus lyra"
"Actinopteri","Barbus"
"Actinopteri","Barbus barbus"
"Actinopteri","Syngnathus rostellatus"
"Actinopteri","Megalechis"
"Actinopteri","Vinciguerria nimbaria"
"Actinopteri","Vinciguerria"
"Actinopteri","Zungaro zungaro"
"Actinopteri","Silurus glanis"
"Actinopteri","Nerophis maculatus"
"Actinopteri","Nerophis"
"Actinopteri","Solea"
