"lon","lat","avg_sst"
-9.625,39.875,17.4381690051386
-9.625,40.125,17.4291799263876
-9.625,40.375,17.3574040157547
-9.625,40.625,17.2634422010411
-9.625,40.875,17.1590706846102
-9.625,41.125,17.05601055114
-9.625,41.375,16.9504914101356
-9.625,41.625,16.8289340467401
-9.625,41.875,16.6689887072871
-9.625,42.125,16.4640159893557
-9.625,42.375,16.2258192906614
-9.625,42.625,15.9803001607051
-9.625,42.875,15.8319122152902
-9.625,43.125,15.8671307850405
-9.625,43.375,16.002567971339
-9.625,43.625,16.1457373770208
-9.625,43.875,16.1988794556081
-9.625,44.125,16.1806280704144
-9.625,44.375,16.1749176562158
-9.625,44.625,16.1444805098362
-9.625,44.875,16.0819121657825
-9.625,45.125,16.0086881449965
-9.625,45.375,15.9433056643752
-9.625,45.625,15.8542072733895
-9.625,45.875,15.7139067415331
-9.625,46.125,15.5553821683581
-9.625,46.375,15.415163613408
-9.625,46.625,15.306037910649
-9.625,46.875,15.2184422967212
-9.375,32.125,17.8043984767518
-9.375,32.375,18.4107099595617
-9.375,32.625,19.1332235753211
-9.375,32.875,19.9204367288475
-9.375,33.125,20.543824649248
-9.375,33.375,20.830573295635
-9.375,33.625,20.8337427462385
-9.375,33.875,20.7408738214462
-9.375,34.125,20.6562836964925
-9.375,34.375,20.5689066485629
-9.375,34.625,20.4693984412105
-9.375,34.875,20.3782235859522
-9.375,35.125,20.305354738496
-9.375,35.375,20.2509285035681
-9.375,35.625,20.1896990166336
-9.375,35.875,20.0723219230527
-9.375,36.125,19.8787973539425
-9.375,36.375,19.5916389715476
-9.375,36.625,19.1657919544991
-9.375,36.875,18.6651361288269
-9.375,37.125,18.2865023222126
-9.375,37.375,18.1454640294685
-9.375,37.625,18.1415842791073
-9.375,37.875,18.0798356363682
-9.375,38.125,17.8601362640089
-9.375,38.375,17.5068301763691
-9.375,38.625,17.189016013849
-9.375,39.125,16.5239886612189
-9.375,39.375,16.7675679290229
-9.375,39.625,16.9595351114951
-9.375,39.875,17.0656280491521
-9.375,40.125,17.0683056070505
-9.375,40.375,17.0231143138448
-9.375,40.625,16.9557919580428
-9.375,40.875,16.8566935935307
-9.375,41.125,16.7272673799692
-9.375,41.375,16.5921034656587
-9.375,41.625,16.4699996390629
-9.375,41.875,16.3553274628895
-9.375,42.125,16.1990707168162
-9.375,42.375,15.9667209771162
-9.375,42.625,15.6712291488231
-9.375,42.875,15.5016389883281
-9.375,43.125,15.6459285835099
-9.375,43.375,15.8442073467651
-9.375,43.625,16.0699996401052
-9.375,43.875,16.1810652024108
-9.375,44.125,16.1586062139501
-9.375,44.375,16.1562837433945
-9.375,44.625,16.1319668462368
-9.375,44.875,16.0746718052306
-9.375,45.125,15.9942072883981
-9.375,45.375,15.9224313543143
-9.375,45.625,15.8353001511162
-9.375,45.875,15.7135242608076
-9.375,46.125,15.5788520724396
-9.375,46.375,15.4534696047423
-9.375,46.625,15.3423766751107
-9.375,46.875,15.2451089405623
-9.125,32.625,18.6813383779891
-9.125,32.875,19.3234148807213
-9.125,33.125,20.1020760666477
-9.125,33.375,20.6475678532501
-9.125,33.625,20.8539613035859
-9.125,33.875,20.8269121451456
-9.125,34.125,20.7300815217482
-9.125,34.375,20.6186060514606
-9.125,34.625,20.4990432978979
-9.125,34.875,20.391037831541
-9.125,35.125,20.3063930084145
-9.125,35.375,20.2503547199437
-9.125,35.625,20.1972399852315
-9.125,35.875,20.0940432939373
-9.125,36.125,19.9071033561165
-9.125,36.375,19.5764749818812
-9.125,36.625,19.0224039515511
-9.125,36.875,18.3595624386939
-9.125,37.125,17.8504914247273
-9.125,37.375,17.6368028843989
-9.125,37.625,17.6408465963895
-9.125,37.875,17.6933602557156
-9.125,38.125,17.6298083373106
-9.125,38.375,17.4762018000493
-9.125,39.625,16.7163930668857
-9.125,39.875,16.7548903116112
-9.125,40.125,16.6740159910233
-9.125,40.375,16.6352455212119
