"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","Adriatic_Sea","Aegean_Sea","Alboran_Sea","Ionian_Sea","Levantine_Sea","Western_Mediterranean"
"Epinephelus marginatus","species","Epinephelus marginatus","Epinephelus marginatus","Epinephelus","Epinephelus","Serranidae",0,3156,0,3840,416,85421
"Equulites klunzingeri","species","Equulites klunzingeri","Equulites klunzingeri","Equulites","Equulites","Leiognathidae",0,0,0,0,2099,0
"Etrumeus","genus",NA,NA,"Etrumeus","Etrumeus","Dussumieriidae",0,1033,0,0,27197,0
"Euthynnus","genus",NA,NA,"Euthynnus","Euthynnus","Scombridae",289,348,467,680,264,528
"Euthynnus alletteratus","species","Euthynnus alletteratus","Euthynnus alletteratus","Euthynnus","Euthynnus","Scombridae",22006,5070,7942,46539,53549,104197
"Exocoetidae","family",NA,NA,NA,NA,"Exocoetidae",15,320,0,786,4190,9257
"Fistularia","genus",NA,NA,"Fistularia","Fistularia","Fistulariidae",0,87,0,0,0,0
"Fistularia commersonii","species","Fistularia commersonii","Fistularia commersonii","Fistularia","Fistularia","Fistulariidae",0,5133,0,40,10603,0
"Fistularia petimba","species","Fistularia petimba","Fistularia petimba","Fistularia","Fistularia","Fistulariidae",0,0,0,0,4259,0
"Gadus","genus",NA,NA,"Gadus","Gadus","Gadidae",0,0,0,0,0,305
"Gaidropsarus mediterraneus","species","Gaidropsarus mediterraneus","Gaidropsarus mediterraneus","Gaidropsarus","Gaidropsarus","Gaidropsaridae",0,0,0,0,0,284
"Gammogobius steinitzi","species","Gammogobius steinitzi","Gammogobius steinitzi","Gammogobius","Gammogobius","Gobiidae",0,0,0,0,0,436
"Glaucostegus cemiculus","species","Glaucostegus cemiculus","Glaucostegus cemiculus","Glaucostegus","Glaucostegus","Glaucostegidae",0,0,0,0,219,0
"Gobius","genus",NA,NA,"Gobius","Gobius","Gobiidae",13,0,44,277,985,75681
"Gobius bucchichi","species","Gobius bucchichi","Gobius bucchichi","Gobius","Gobius","Gobiidae",72,0,0,100,35,29279
"Gobius cobitis","species","Gobius cobitis","Gobius cobitis","Gobius","Gobius","Gobiidae",0,0,0,0,0,3
"Gobius cruentatus","species","Gobius cruentatus","Gobius cruentatus","Gobius","Gobius","Gobiidae",0,0,0,0,0,27822
"Gobius geniporus","species","Gobius geniporus","Gobius geniporus","Gobius","Gobius","Gobiidae",0,0,0,0,0,10213
"Gobius niger","species","Gobius niger","Gobius niger","Gobius","Gobius","Gobiidae",296,0,0,888,0,114991
"Gobius paganellus","species","Gobius paganellus","Gobius paganellus","Gobius","Gobius","Gobiidae",0,0,0,0,0,1078
"Gobius xanthocephalus","species","Gobius xanthocephalus","Gobius xanthocephalus","Gobius","Gobius","Gobiidae",27,0,0,377,236,23661
"Gymnammodytes","genus",NA,NA,"Gymnammodytes","Gymnammodytes","Ammodytidae",0,0,0,0,0,272414
"Gymnammodytes cicerelus","species","Gymnammodytes cicerelus","Gymnammodytes cicerelus","Gymnammodytes","Gymnammodytes","Ammodytidae",0,0,0,0,0,5624464
"Gymnammodytes semisquamatus","species","Gymnammodytes semisquamatus","Gymnammodytes semisquamatus","Gymnammodytes","Gymnammodytes","Ammodytidae",0,0,0,0,0,39130
"Hemiramphus far","species","Hemiramphus far","Hemiramphus far","Hemiramphus","Hemiramphus","Hemiramphidae",0,0,0,0,1428,0
